epoch,step,train_loss,val_loss
0,31,,0.16629293912574045
0,31,0.35963624283784484,
1,63,,0.15594534454782527
1,63,0.23926114783156113,
2,95,,0.14336450077137028
2,95,0.22827659968997394,
3,127,,0.13883482575123876
3,127,0.21237876504023492,
4,159,,0.13249672331491913
4,159,0.20611837248564777,
5,191,,0.14257701989402827
5,191,0.20106403075156024,
6,223,,0.13342210464003634
6,223,0.20009981935972018,
7,255,,0.13115231022392607
7,255,0.18339179501923428,
8,287,,0.1273776847458511
8,287,0.19134004064018834,
9,319,,0.12722747698091025
9,319,0.17802916234768582,
10,351,,0.1321936597559795
10,351,0.16852409001191843,
11,383,,0.13423728519555156
11,383,0.1672563398967933,
12,415,,0.13499636096123468
12,415,0.1671958411956818,
13,447,,0.13132756591865719
13,447,0.17535710746248118,
14,479,,0.14669208259365474
14,479,0.1858090067276912,
15,511,,0.1327272177793538
15,511,0.16102344172002916,
16,543,,0.13215026846739872
16,543,0.1752333228741915,
17,575,,0.12857239294423342
17,575,0.15976893900509728,
18,607,,0.13993735986738778
18,607,0.16293252656968923,
19,639,,0.1309236633386663
19,639,0.17605253503761514,
